               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12022,             0.04005,                   0,            0.075584,            0.025641,            0.023351,           0.0041169,             0.11638,            0.032993,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11246,            0.041786,                   0,            0.015476,             0.20513,            0.010812,           0.0032732,               0.102,            0.035048,                   0,            0.091894,          0.00089406,          0.00089406
                   2,              0.1016,            0.048342,                   0,            0.015441,             0.28205,            0.018457,           0.0048945,            0.092615,            0.036301,                   0,            0.087382,           0.0013815,           0.0013815
                   3,            0.088584,            0.052379,                   0,             0.18123,             0.12821,            0.090178,             0.02686,            0.080026,            0.037196,                   0,            0.082862,           0.0018624,           0.0018624
                   4,            0.075962,            0.050872,                   0,             0.45862,             0.41277,             0.37249,             0.13789,            0.073746,            0.038625,                   0,            0.078337,           0.0023366,           0.0023366
                   5,            0.069052,             0.04667,                   0,             0.39443,             0.41026,             0.34134,             0.13557,            0.076285,            0.052581,                   0,            0.073804,           0.0028043,           0.0028043
                   6,            0.060726,             0.04555,                   0,             0.35427,             0.48718,             0.29576,             0.13683,             0.06875,             0.06871,                   0,            0.069265,           0.0032654,           0.0032654
                   7,            0.056241,            0.042643,                   0,             0.36409,             0.53846,             0.36012,             0.17196,            0.071198,            0.046181,                   0,             0.06472,           0.0037198,           0.0037198
                   8,            0.055108,            0.040259,                   0,             0.29537,             0.38462,             0.33196,             0.16223,              0.0704,            0.039584,                   0,            0.060168,           0.0041677,           0.0041677
                   9,            0.053257,             0.03902,                   0,              0.5441,             0.53846,             0.51554,             0.26315,            0.068352,            0.035348,                   0,            0.055609,           0.0046089,           0.0046089
                  10,            0.052844,            0.037521,                   0,             0.48175,             0.52452,             0.44142,             0.23911,            0.073604,            0.033364,                   0,            0.051044,           0.0050436,           0.0050436
                  11,            0.052564,            0.037995,                   0,             0.30947,             0.49421,             0.30772,             0.14679,            0.070185,            0.029798,                   0,            0.046472,           0.0054717,           0.0054717
                  12,            0.056429,            0.036431,                   0,             0.46545,             0.48718,              0.4528,             0.24155,             0.06297,            0.028069,                   0,            0.041893,           0.0058931,           0.0058931
                  13,            0.053306,            0.032749,                   0,             0.59368,              0.4359,             0.47709,             0.26294,            0.075447,            0.025965,                   0,            0.037308,            0.006308,            0.006308
                  14,            0.054708,            0.035994,                   0,             0.45329,             0.40406,             0.39786,             0.19775,            0.072007,            0.026178,                   0,            0.032716,           0.0067162,           0.0067162
                  15,            0.053167,            0.034291,                   0,             0.38987,             0.51282,             0.35069,             0.12657,            0.068412,            0.026203,                   0,            0.028118,           0.0071179,           0.0071179
                  16,            0.052639,            0.034267,                   0,             0.46245,             0.48534,             0.44863,             0.17527,            0.067439,            0.025874,                   0,            0.023513,            0.007513,            0.007513
                  17,             0.05126,            0.034691,                   0,             0.40169,             0.58974,             0.34025,             0.11693,            0.071478,            0.026782,                   0,            0.018901,           0.0079014,           0.0079014
                  18,            0.052107,            0.032887,                   0,             0.50864,             0.48718,             0.43664,             0.17353,            0.068029,            0.026316,                   0,            0.014283,           0.0082833,           0.0082833
                  19,            0.051764,            0.033176,                   0,              0.4769,             0.49098,             0.42285,              0.1318,             0.06699,            0.026799,                   0,           0.0096585,           0.0086585,           0.0086585
                  20,            0.047495,            0.032466,                   0,             0.52045,             0.46154,             0.45109,              0.1764,            0.066049,            0.027523,                   0,             0.00868,             0.00868,             0.00868
                  21,            0.047443,            0.033264,                   0,             0.53054,             0.61538,             0.45302,             0.22184,            0.061722,            0.028148,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.044488,            0.033275,                   0,             0.57744,              0.5641,             0.50623,             0.28905,            0.058465,            0.029629,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.043765,            0.032942,                   0,              0.4636,             0.59846,             0.46592,              0.1937,            0.062969,             0.03188,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.042754,            0.030938,                   0,              0.3596,             0.58974,             0.33992,             0.15614,            0.064815,            0.029253,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.042086,            0.030009,                   0,             0.51344,              0.5641,             0.49773,             0.19729,            0.058503,            0.027597,                   0,            0.008416,            0.008416,            0.008416
