               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12025,            0.039726,                   0,             0.34827,                0.05,            0.055286,           0.0071726,             0.11917,            0.033837,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11248,            0.041622,                   0,            0.013439,               0.175,           0.0095115,           0.0028632,             0.10253,            0.037219,                   0,            0.091894,          0.00089406,          0.00089406
                   2,              0.1016,             0.04811,                   0,            0.015206,               0.275,            0.019615,           0.0045978,            0.089748,            0.038747,                   0,            0.087382,           0.0013815,           0.0013815
                   3,            0.088515,             0.05167,                   0,             0.22616,               0.175,             0.11736,            0.042662,             0.07458,            0.039079,                   0,            0.082862,           0.0018624,           0.0018624
                   4,            0.075586,            0.050877,                   0,             0.55522,               0.525,             0.48435,             0.19446,            0.066939,             0.04022,                   0,            0.078337,           0.0023366,           0.0023366
                   5,            0.066824,            0.045787,                   0,              0.3632,               0.625,             0.45679,             0.18865,            0.069995,            0.052633,                   0,            0.073804,           0.0028043,           0.0028043
                   6,            0.061247,            0.044997,                   0,              0.3543,               0.575,             0.36207,             0.15144,            0.072096,            0.062731,                   0,            0.069265,           0.0032654,           0.0032654
                   7,            0.056878,            0.042522,                   0,             0.36192,                 0.6,             0.41058,             0.14146,            0.069352,            0.042478,                   0,             0.06472,           0.0037198,           0.0037198
                   8,            0.054243,            0.040198,                   0,             0.44873,               0.725,             0.46491,             0.19237,            0.050874,            0.035718,                   0,            0.060168,           0.0041677,           0.0041677
                   9,            0.053989,            0.038837,                   0,             0.62235,                 0.6,             0.62978,             0.33902,            0.057666,            0.029942,                   0,            0.055609,           0.0046089,           0.0046089
                  10,            0.053093,            0.037209,                   0,             0.31482,               0.725,             0.43852,             0.19803,            0.059599,            0.027527,                   0,            0.051044,           0.0050436,           0.0050436
                  11,            0.053468,             0.03782,                   0,             0.66009,               0.575,             0.68806,             0.34897,            0.051006,            0.025696,                   0,            0.046472,           0.0054717,           0.0054717
                  12,              0.0529,            0.036964,                   0,             0.83188,             0.61869,             0.80123,              0.4706,             0.04582,               0.025,                   0,            0.041893,           0.0058931,           0.0058931
                  13,            0.053185,             0.03228,                   0,             0.38184,             0.71044,              0.5042,             0.19865,            0.059454,            0.022579,                   0,            0.037308,            0.006308,            0.006308
                  14,            0.053143,            0.035889,                   0,              0.6564,                0.55,             0.60382,              0.2413,             0.05993,            0.022048,                   0,            0.032716,           0.0067162,           0.0067162
                  15,            0.052989,            0.034508,                   0,             0.60476,               0.575,             0.63336,             0.36353,             0.05099,             0.02241,                   0,            0.028118,           0.0071179,           0.0071179
                  16,            0.053773,            0.033943,                   0,             0.35563,                0.65,             0.45739,             0.18174,            0.056698,            0.022169,                   0,            0.023513,            0.007513,            0.007513
                  17,            0.052101,             0.03446,                   0,             0.80642,               0.625,             0.76167,             0.26533,            0.059289,             0.02204,                   0,            0.018901,           0.0079014,           0.0079014
                  18,            0.050451,            0.033239,                   0,             0.54879,                0.75,             0.67148,             0.27862,            0.053712,            0.021612,                   0,            0.014283,           0.0082833,           0.0082833
                  19,            0.051447,            0.032936,                   0,             0.49894,               0.625,             0.67471,             0.30468,            0.050458,            0.022037,                   0,           0.0096585,           0.0086585,           0.0086585
                  20,            0.049229,            0.031927,                   0,             0.51167,               0.575,             0.61439,             0.21424,            0.047547,            0.022302,                   0,             0.00868,             0.00868,             0.00868
                  21,            0.047199,            0.033197,                   0,             0.82718,                0.65,             0.76971,             0.25421,            0.054777,            0.022978,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.044493,            0.033197,                   0,             0.58269,             0.73315,             0.74385,             0.36306,            0.044319,            0.022811,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.044075,            0.032381,                   0,             0.53041,                0.85,             0.63566,             0.33082,            0.039316,            0.021589,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.040594,            0.032084,                   0,             0.49516,             0.76024,             0.63632,              0.3939,            0.042143,            0.021257,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.039717,            0.030029,                   0,             0.55103,             0.76717,             0.67168,             0.31406,            0.042811,            0.023536,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.039419,            0.031365,                   0,             0.58962,                0.75,             0.75208,             0.35151,            0.040839,            0.022323,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.038379,            0.029898,                   0,             0.78965,               0.775,             0.85746,             0.43693,            0.035146,            0.020167,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.037721,            0.029893,                   0,             0.63894,             0.79639,             0.70287,             0.33194,            0.036046,            0.022442,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.035611,            0.028459,                   0,             0.75054,             0.75223,             0.85013,             0.50901,            0.035786,            0.020207,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.035481,              0.0297,                   0,             0.66092,                 0.8,             0.77426,             0.42442,            0.036818,            0.019417,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.035173,            0.028839,                   0,             0.89536,                0.85,             0.91975,             0.54472,            0.032377,            0.020862,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.033948,            0.030028,                   0,             0.58851,             0.89395,             0.70899,             0.39408,            0.032714,            0.020988,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.030796,            0.029346,                   0,             0.82857,             0.84592,             0.88132,              0.6119,            0.032136,            0.020199,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.033021,            0.028867,                   0,             0.88405,               0.825,             0.91216,             0.65814,            0.031347,            0.020649,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.032575,            0.027596,                   0,             0.87439,               0.875,             0.92468,             0.59824,            0.030851,            0.020891,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.031854,            0.028032,                   0,             0.94591,             0.87446,             0.94568,             0.63254,            0.028901,            0.019845,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.030619,            0.027964,                   0,             0.92288,             0.89763,             0.95344,             0.65623,            0.026971,            0.019808,                   0,            0.007624,            0.007624,            0.007624
                  38,              0.0294,            0.026767,                   0,             0.91942,                 0.9,             0.95661,             0.69939,            0.026234,            0.019652,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.029726,            0.024851,                   0,             0.92364,              0.9073,             0.95339,             0.70275,            0.024966,              0.0197,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.030445,            0.027196,                   0,             0.89946,             0.89477,             0.94927,              0.6657,            0.023964,            0.019416,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.029323,            0.026976,                   0,             0.94727,             0.89822,             0.95656,             0.68954,            0.024655,            0.019396,                   0,             0.00736,             0.00736,             0.00736
