               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033081,            0.017862,                   0,             0.44461,             0.74059,             0.51138,             0.34039,            0.029386,            0.014193,                   0,             0.17008,           0.0003006,           0.0003006
                   1,            0.028149,            0.014917,                   0,             0.73519,                0.75,              0.7319,              0.5213,             0.02657,            0.013734,                   0,             0.15175,          0.00062921,          0.00062921
                   2,            0.026016,            0.014925,                   0,             0.83137,               0.725,             0.79325,             0.60332,            0.024878,            0.013324,                   0,             0.13342,          0.00095216,          0.00095216
                   3,            0.024216,            0.014396,                   0,             0.93782,              0.7542,             0.85111,             0.67288,            0.023597,             0.01277,                   0,             0.11508,           0.0012694,           0.0012694
                   4,            0.022293,             0.01342,                   0,             0.98934,                0.75,             0.87772,             0.69438,            0.022404,            0.012244,                   0,            0.096732,            0.001581,            0.001581
                   5,            0.021364,            0.012784,                   0,             0.94039,                 0.8,             0.89961,             0.70207,            0.021379,            0.011856,                   0,            0.078381,            0.001887,            0.001887
                   6,            0.020599,            0.014435,                   0,                   1,             0.83765,             0.92161,             0.71779,            0.020549,            0.011514,                   0,            0.060024,           0.0021873,           0.0021873
                   7,             0.01921,            0.013888,                   0,             0.96907,                0.85,             0.92495,             0.71453,            0.019807,             0.01133,                   0,            0.041662,           0.0024819,           0.0024819
                   8,            0.017612,            0.012302,                   0,             0.97166,             0.85744,             0.92966,             0.71635,            0.018912,            0.011428,                   0,            0.023293,           0.0027708,           0.0027708
                   9,            0.016559,            0.012034,                   0,             0.98212,                0.85,             0.93015,             0.71873,            0.017445,            0.011409,                   0,           0.0049197,            0.003054,            0.003054
                  10,            0.015377,            0.013335,                   0,             0.94609,             0.87747,             0.94812,             0.72608,            0.016386,            0.011359,                   0,           0.0030566,           0.0030566,           0.0030566
                  11,             0.01435,            0.013491,                   0,             0.95814,                 0.9,             0.95327,              0.7261,            0.015073,            0.011258,                   0,           0.0030566,           0.0030566,           0.0030566
                  12,            0.013023,            0.012018,                   0,              0.9448,                 0.9,             0.95636,             0.71356,            0.014324,            0.011329,                   0,           0.0030282,           0.0030282,           0.0030282
                  13,            0.012946,            0.012495,                   0,             0.92106,             0.87513,             0.94348,             0.72472,            0.013729,            0.011249,                   0,           0.0029999,           0.0029999,           0.0029999
                  14,            0.011625,            0.011933,                   0,             0.94631,             0.88141,             0.94341,             0.71282,            0.013386,            0.011345,                   0,           0.0029715,           0.0029715,           0.0029715
                  15,            0.011764,            0.013269,                   0,             0.96962,                 0.9,             0.94713,             0.72883,            0.012989,            0.011471,                   0,           0.0029432,           0.0029432,           0.0029432
                  16,            0.010779,            0.011934,                   0,             0.96785,                 0.9,             0.94669,             0.72052,            0.012614,            0.011431,                   0,           0.0029148,           0.0029148,           0.0029148
                  17,            0.010674,             0.01169,                   0,             0.96833,                 0.9,             0.94788,             0.73091,             0.01224,             0.01148,                   0,           0.0028865,           0.0028865,           0.0028865
                  18,            0.010377,            0.012366,                   0,             0.97263,             0.88846,             0.94852,             0.73491,            0.011938,            0.011436,                   0,           0.0028581,           0.0028581,           0.0028581
                  19,             0.01033,            0.011813,                   0,             0.92358,              0.9065,             0.94797,             0.71115,            0.011747,             0.01165,                   0,           0.0028298,           0.0028298,           0.0028298
                  20,            0.010022,            0.012269,                   0,               0.924,             0.91194,             0.94724,             0.71766,            0.011516,            0.011692,                   0,           0.0028014,           0.0028014,           0.0028014
                  21,           0.0099541,            0.013001,                   0,             0.96639,                 0.9,             0.94692,             0.72552,            0.011133,            0.011715,                   0,           0.0027731,           0.0027731,           0.0027731
                  22,           0.0092386,            0.011836,                   0,              0.9483,             0.91727,             0.95114,             0.72489,            0.010874,            0.011672,                   0,           0.0027448,           0.0027448,           0.0027448
                  23,           0.0093275,            0.013061,                   0,             0.94848,             0.92056,             0.95302,             0.73416,            0.010701,            0.011668,                   0,           0.0027164,           0.0027164,           0.0027164
                  24,           0.0097652,            0.013346,                   0,              0.9557,                 0.9,             0.95816,             0.71751,            0.010616,            0.011634,                   0,           0.0026881,           0.0026881,           0.0026881
                  25,           0.0092774,            0.012615,                   0,             0.94964,                 0.9,             0.96055,             0.72428,            0.010414,            0.011621,                   0,           0.0026597,           0.0026597,           0.0026597
                  26,            0.009177,            0.012434,                   0,             0.94864,               0.925,             0.95824,             0.72327,             0.01039,            0.011663,                   0,           0.0026314,           0.0026314,           0.0026314
                  27,           0.0082473,            0.011966,                   0,              0.9736,             0.92188,             0.96153,              0.7367,            0.010329,            0.011492,                   0,            0.002603,            0.002603,            0.002603
                  28,           0.0088505,            0.011128,                   0,             0.97337,             0.91379,             0.96114,             0.73328,            0.010312,            0.011529,                   0,           0.0025747,           0.0025747,           0.0025747
                  29,            0.008071,             0.01053,                   0,             0.97346,             0.91695,             0.95895,             0.72954,             0.01032,            0.011675,                   0,           0.0025463,           0.0025463,           0.0025463
                  30,           0.0082371,            0.011235,                   0,             0.96517,                 0.9,             0.95798,             0.73956,            0.010069,            0.011555,                   0,            0.002518,            0.002518,            0.002518
                  31,           0.0081091,            0.011302,                   0,             0.95746,                 0.9,             0.96169,             0.73317,           0.0099883,            0.011646,                   0,           0.0024897,           0.0024897,           0.0024897
                  32,           0.0084175,            0.013101,                   0,             0.95757,                 0.9,             0.96301,             0.73448,           0.0098593,            0.011578,                   0,           0.0024613,           0.0024613,           0.0024613
                  33,           0.0089852,            0.012108,                   0,             0.97339,             0.91455,             0.96322,             0.74333,           0.0097454,             0.01127,                   0,            0.002433,            0.002433,            0.002433
                  34,           0.0080945,            0.011819,                   0,             0.97338,             0.91446,             0.96392,             0.74686,           0.0097571,            0.011261,                   0,           0.0024046,           0.0024046,           0.0024046
                  35,           0.0083258,            0.011292,                   0,             0.92672,              0.9485,             0.96566,             0.74174,           0.0097617,            0.011404,                   0,           0.0023763,           0.0023763,           0.0023763
                  36,           0.0078476,            0.011341,                   0,             0.92321,                0.95,             0.96196,             0.75231,           0.0095706,            0.011288,                   0,           0.0023479,           0.0023479,           0.0023479
                  37,           0.0078008,            0.010933,                   0,             0.94991,             0.94821,             0.96051,             0.74883,           0.0096151,            0.011342,                   0,           0.0023196,           0.0023196,           0.0023196
                  38,           0.0082924,             0.01185,                   0,             0.94407,               0.925,             0.95993,             0.74786,            0.009798,            0.011545,                   0,           0.0022912,           0.0022912,           0.0022912
                  39,           0.0080182,              0.0114,                   0,             0.94498,                0.95,             0.96382,             0.73601,           0.0096907,            0.011518,                   0,           0.0022629,           0.0022629,           0.0022629
                  40,            0.008006,            0.011827,                   0,             0.94388,                0.95,             0.96727,             0.74929,           0.0096539,            0.011573,                   0,           0.0022345,           0.0022345,           0.0022345
                  41,           0.0079707,            0.012436,                   0,             0.94986,             0.94733,             0.96591,             0.74325,           0.0096992,            0.011515,                   0,           0.0022062,           0.0022062,           0.0022062
                  42,           0.0077565,            0.010999,                   0,             0.94811,                0.95,             0.96522,             0.75402,           0.0094736,            0.011203,                   0,           0.0021779,           0.0021779,           0.0021779
                  43,           0.0079158,            0.011337,                   0,             0.94995,             0.94896,             0.96621,             0.74628,           0.0094808,            0.011356,                   0,           0.0021495,           0.0021495,           0.0021495
                  44,           0.0079642,            0.011862,                   0,             0.94961,             0.94242,             0.97031,             0.74648,           0.0094611,            0.011403,                   0,           0.0021212,           0.0021212,           0.0021212
                  45,           0.0080627,            0.011781,                   0,             0.94224,               0.925,             0.96458,             0.74327,           0.0095092,            0.011567,                   0,           0.0020928,           0.0020928,           0.0020928
                  46,           0.0078705,            0.010957,                   0,             0.97339,             0.91448,             0.96757,             0.73899,           0.0095296,            0.011449,                   0,           0.0020645,           0.0020645,           0.0020645
                  47,            0.007995,            0.012109,                   0,             0.94238,               0.925,             0.96732,             0.74502,           0.0093022,            0.011239,                   0,           0.0020361,           0.0020361,           0.0020361
                  48,           0.0078441,            0.012022,                   0,             0.94974,             0.94491,             0.96746,             0.76005,           0.0092762,            0.011313,                   0,           0.0020078,           0.0020078,           0.0020078
                  49,           0.0077506,             0.01185,                   0,             0.97338,             0.91424,             0.96751,             0.74829,           0.0095162,             0.01123,                   0,           0.0019794,           0.0019794,           0.0019794
                  50,           0.0083265,            0.012056,                   0,             0.94086,               0.925,             0.96674,             0.74806,            0.009374,            0.011452,                   0,           0.0019511,           0.0019511,           0.0019511
                  51,           0.0078041,            0.011566,                   0,               0.962,                 0.9,             0.96815,             0.75736,           0.0092844,            0.011322,                   0,           0.0019228,           0.0019228,           0.0019228
                  52,           0.0078877,            0.011703,                   0,             0.94049,               0.925,             0.96913,             0.75553,           0.0092876,              0.0114,                   0,           0.0018944,           0.0018944,           0.0018944
                  53,           0.0075213,            0.011679,                   0,             0.94505,               0.925,             0.96923,             0.75368,            0.009278,            0.011418,                   0,           0.0018661,           0.0018661,           0.0018661
                  54,            0.007224,            0.010618,                   0,             0.94455,               0.925,             0.96881,             0.75767,           0.0093056,            0.011293,                   0,           0.0018377,           0.0018377,           0.0018377
                  55,           0.0079142,            0.011881,                   0,             0.94495,               0.925,             0.96877,              0.7638,           0.0093517,            0.011314,                   0,           0.0018094,           0.0018094,           0.0018094
                  56,           0.0074211,            0.011318,                   0,             0.94498,               0.925,             0.96911,             0.75962,           0.0092857,            0.011388,                   0,            0.001781,            0.001781,            0.001781
                  57,           0.0071707,             0.01048,                   0,             0.94372,               0.925,             0.96771,             0.75044,           0.0093014,             0.01144,                   0,           0.0017527,           0.0017527,           0.0017527
                  58,           0.0083098,            0.012378,                   0,              0.9445,               0.925,              0.9683,             0.75532,             0.00927,            0.011357,                   0,           0.0017243,           0.0017243,           0.0017243
                  59,           0.0074355,            0.011169,                   0,             0.94247,               0.925,             0.96744,              0.7589,           0.0092698,            0.011356,                   0,            0.001696,            0.001696,            0.001696
                  60,           0.0074941,            0.011645,                   0,             0.94385,               0.925,             0.96578,             0.75308,           0.0092186,            0.011412,                   0,           0.0016677,           0.0016677,           0.0016677
                  61,           0.0080433,            0.010876,                   0,              0.9444,               0.925,             0.96697,             0.74893,           0.0092635,            0.011578,                   0,           0.0016393,           0.0016393,           0.0016393
                  62,           0.0070403,            0.010427,                   0,             0.94482,               0.925,             0.96606,             0.75595,           0.0092204,            0.011427,                   0,            0.001611,            0.001611,            0.001611
                  63,            0.007653,            0.011969,                   0,             0.94526,               0.925,             0.96786,             0.76423,           0.0092055,             0.01136,                   0,           0.0015826,           0.0015826,           0.0015826
                  64,           0.0080782,            0.012494,                   0,             0.94602,               0.925,              0.9678,             0.75725,           0.0091551,            0.011373,                   0,           0.0015543,           0.0015543,           0.0015543
                  65,           0.0074128,            0.010983,                   0,             0.94613,               0.925,             0.96749,             0.76302,            0.009168,             0.01131,                   0,           0.0015259,           0.0015259,           0.0015259
                  66,           0.0077023,            0.011713,                   0,             0.94505,               0.925,             0.96808,             0.75807,           0.0091593,            0.011325,                   0,           0.0014976,           0.0014976,           0.0014976
                  67,           0.0076608,           0.0098396,                   0,             0.94424,               0.925,             0.96729,             0.76055,           0.0091521,            0.011354,                   0,           0.0014692,           0.0014692,           0.0014692
                  68,           0.0070059,            0.009855,                   0,             0.94395,               0.925,             0.96657,              0.7634,           0.0091813,            0.011372,                   0,           0.0014409,           0.0014409,           0.0014409
                  69,           0.0076736,            0.011254,                   0,             0.94791,             0.91004,             0.97009,             0.76779,           0.0091798,            0.011376,                   0,           0.0014125,           0.0014125,           0.0014125
                  70,            0.007181,            0.010999,                   0,             0.96348,                 0.9,             0.96712,             0.75452,           0.0091617,            0.011406,                   0,           0.0013842,           0.0013842,           0.0013842
                  71,           0.0072298,            0.011371,                   0,             0.96172,                 0.9,              0.9673,             0.77072,           0.0091067,            0.011373,                   0,           0.0013559,           0.0013559,           0.0013559
                  72,           0.0075306,             0.01115,                   0,             0.96189,                 0.9,             0.96885,             0.76386,           0.0090993,            0.011391,                   0,           0.0013275,           0.0013275,           0.0013275
                  73,           0.0075992,            0.011467,                   0,             0.96193,                 0.9,             0.96863,             0.75756,           0.0091474,            0.011486,                   0,           0.0012992,           0.0012992,           0.0012992
                  74,            0.007301,            0.010908,                   0,             0.96158,                 0.9,             0.96835,             0.75865,           0.0091474,            0.011467,                   0,           0.0012708,           0.0012708,           0.0012708
                  75,           0.0070248,            0.011445,                   0,             0.94842,             0.91949,             0.96565,             0.76485,           0.0091118,            0.011468,                   0,           0.0012425,           0.0012425,           0.0012425
                  76,           0.0071876,            0.011435,                   0,             0.94849,             0.92069,              0.9678,             0.75692,           0.0090962,            0.011473,                   0,           0.0012141,           0.0012141,           0.0012141
                  77,           0.0071472,            0.011429,                   0,             0.94825,             0.91634,             0.96782,             0.75865,           0.0090915,            0.011434,                   0,           0.0011858,           0.0011858,           0.0011858
                  78,           0.0074729,            0.011818,                   0,             0.94837,             0.91858,             0.96732,             0.76038,           0.0090904,            0.011447,                   0,           0.0011574,           0.0011574,           0.0011574
                  79,           0.0073969,            0.012191,                   0,             0.96428,                 0.9,             0.96645,             0.75256,           0.0091333,            0.011434,                   0,           0.0011291,           0.0011291,           0.0011291
                  80,           0.0070506,             0.01023,                   0,             0.96437,                 0.9,             0.96575,             0.76122,           0.0091066,            0.011353,                   0,           0.0011008,           0.0011008,           0.0011008
                  81,           0.0069529,            0.011065,                   0,             0.94861,             0.92295,               0.966,             0.76283,           0.0090778,             0.01133,                   0,           0.0010724,           0.0010724,           0.0010724
                  82,            0.007688,            0.012405,                   0,             0.94844,             0.91983,             0.96617,             0.75335,           0.0091046,            0.011384,                   0,           0.0010441,           0.0010441,           0.0010441
                  83,           0.0074859,            0.011377,                   0,             0.96049,                 0.9,             0.96537,             0.76144,           0.0090848,            0.011477,                   0,           0.0010157,           0.0010157,           0.0010157
                  84,           0.0072524,            0.011181,                   0,             0.96258,                 0.9,             0.96643,             0.76505,           0.0090661,            0.011357,                   0,          0.00098737,          0.00098737,          0.00098737
                  85,           0.0076519,            0.011446,                   0,             0.96439,                 0.9,             0.96724,             0.75969,           0.0090598,            0.011376,                   0,          0.00095903,          0.00095903,          0.00095903
                  86,           0.0077359,             0.01101,                   0,             0.96315,                 0.9,             0.96704,             0.76572,           0.0090524,            0.011421,                   0,          0.00093068,          0.00093068,          0.00093068
                  87,           0.0071073,            0.010985,                   0,             0.95832,                 0.9,             0.96584,             0.76185,           0.0090433,            0.011533,                   0,          0.00090234,          0.00090234,          0.00090234
                  88,           0.0071389,            0.010617,                   0,             0.96151,                 0.9,             0.96561,              0.7561,           0.0090419,            0.011564,                   0,          0.00087399,          0.00087399,          0.00087399
                  89,           0.0072822,             0.01128,                   0,             0.96257,                 0.9,             0.96564,             0.76168,           0.0090747,            0.011545,                   0,          0.00084565,          0.00084565,          0.00084565
                  90,            0.007375,            0.011752,                   0,             0.96331,                 0.9,             0.96498,             0.75729,           0.0090255,            0.011511,                   0,           0.0008173,           0.0008173,           0.0008173
                  91,           0.0076325,            0.010835,                   0,              0.9626,                 0.9,             0.96515,             0.75305,           0.0090585,             0.01152,                   0,          0.00078896,          0.00078896,          0.00078896
                  92,           0.0070724,            0.010742,                   0,             0.95651,                 0.9,             0.96625,             0.75661,           0.0090783,            0.011554,                   0,          0.00076061,          0.00076061,          0.00076061
                  93,            0.006782,            0.010258,                   0,              0.9219,               0.925,             0.96551,             0.76313,           0.0090547,            0.011557,                   0,          0.00073227,          0.00073227,          0.00073227
                  94,           0.0069521,            0.011148,                   0,             0.92146,               0.925,             0.96551,             0.76071,           0.0090319,            0.011587,                   0,          0.00070392,          0.00070392,          0.00070392
                  95,           0.0079561,            0.012142,                   0,             0.95742,                 0.9,             0.96649,             0.75974,           0.0090342,            0.011515,                   0,          0.00067558,          0.00067558,          0.00067558
                  96,           0.0072907,             0.01086,                   0,             0.94953,                 0.9,             0.96689,             0.76244,           0.0090242,            0.011493,                   0,          0.00064723,          0.00064723,          0.00064723
